Appareil;Nom=;6100 PORTABLE;;Numéro de série=;8480381;;Version de logiciel=;5.7;;;;;
;Adresse MAC=;00:0A:8D:81:66:7D;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT;;
Groupe;Group 1;;;;;;;;;;;;
TC1;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC2;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC3;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC4;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC5;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC6;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC7;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC8;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC9;Bas=;20;Haut=;550;Unités=;°C;;;;;;;
TC10;Bas=;0;Haut=;550;Unités=;°C;;;;;;;
TC11;Bas=;-30;Haut=;535;Unités=;°C;;;;;;;
TC12;Bas=;-30;Haut=;535;Unités=;°C;;;;;;;
TC13;Bas=;-30;Haut=;535;Unités=;°C;;;;;;;
TC14;Bas=;-35;Haut=;550;Unités=;°C;;;;;;;
TC15;Bas=;-35;Haut=;550;Unités=;°C;;;;;;;
Date/Heure;;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC12;TC13
;;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
12/09/23 09:40:54.625;12/09/23 09:40:54 Mise sous tension;;;;;;;;;;;;
12/09/23 09:40:54.625;12/09/23 09:40:54 Version de config:561 Version de sécurité:1;;;;;;;;;;;;
12/09/23 09:40:55.375;12/09/23 09:40:55 Stockage actif;;;;;;;;;;;;
12/09/2023 09:50;;-29,75;-29,14;-28,77;-29,24;-29,04;-29,28;-27,67;-28,97;-28,62;-28,2;-28,42;-28,38
12/09/2023 09:51;;-30,52;-29,84;-29,49;-29,98;-29,75;-30;-28,48;-29,64;-29,39;-28,86;-29,16;-29,07
12/09/2023 09:52;;-31,15;-30,51;-30,2;-30,65;-30,5;-30,71;-29,04;-30,35;-29,94;-29,63;-29,85;-29,86
12/09/2023 09:53;;-31,61;-30,2;-30,67;-30,49;-29,42;-30,88;-30,07;-30,03;-30,65;-30,14;-30,3;-29,63
12/09/2023 09:54;;-30,52;-29,84;-29,81;-30,33;-28,32;-30,56;-30,22;-29,33;-30,23;-29,89;-29,93;-29,29
12/09/2023 09:55;;-29,32;-29,39;-29,03;-30,03;-27,63;-29,96;-29,72;-28,92;-29,81;-29,5;-29,74;-29,01
12/09/2023 09:56;;-28,6;-29,11;-28,48;-29,73;-26,79;-29,39;-29,39;-28,33;-29,35;-29,07;-29,43;-28,62
12/09/2023 09:57;;-28,22;-28,79;-28,04;-29,33;-26,42;-28,99;-29,02;-28,03;-28,87;-28,59;-29,02;-28,28
12/09/2023 09:58;;-27,97;-28,27;-27,81;-29,8;-29,63;-28,63;-28,71;-29,37;-28,55;-28,47;-29,49;-28,99
12/09/2023 09:59;;-27,76;-28,19;-28,7;-30,2;-30,17;-28,92;-29,19;-30,01;-28,97;-28,7;-29,93;-29,39
12/09/2023 10:00;;-27,99;-28,29;-29,08;-30,59;-30,53;-29,07;-29,61;-30,48;-29,38;-29,12;-30,4;-29,89
12/09/2023 10:01;;-28,2;-28,38;-27,96;-30,25;-28,38;-28,86;-29,18;-29,14;-28,79;-28,69;-29,94;-29,37
12/09/2023 10:02;;-27,8;-28;-27,15;-29,64;-26,07;-28,56;-29,05;-28,55;-28,37;-28,41;-29,43;-28,71
12/09/2023 10:03;;-29,85;-28,72;-28,73;-29,06;-27,27;-29,35;-28,48;-28,61;-28,86;-28,54;-28,96;-28,35
12/09/2023 10:04;;-30,44;-29,07;-29,43;-29,35;-27,48;-29,69;-29,13;-28,85;-29,47;-29,16;-29,28;-28,58
