Appareil;Nom=;6100 PORTABLE;;Numéro de série=;8480381;;Version de logiciel=;5.7;;;
;Adresse MAC=;00:0A:8D:81:66:7D;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 1;;;;;;;;;;
TC1;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC2;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC3;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC4;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC5;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC6;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC7;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC8;Bas=;20;Haut=;550;Unités=;°C;;;;;
TC9;Bas=;20;Haut=;550;Unités=;°C;;;;;
Date/Heure;;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;
;;°C;°C;°C;°C;°C;°C;°C;°C;°C;
10/11/23 09:02:30.625;10/11/23 09:02:30 Mise sous tension;;;;;;;;;;
10/11/23 09:02:30.625;10/11/23 09:02:30 Version de config:561 Version de sécurité:1;;;;;;;;;;
10/11/23 09:02:31.5;10/11/23 09:02:31 Stockage actif;;;;;;;;;;
10/11/2023 09:06;;10,69;10,7;10,77;12,3;14,95;15,22;14,99;15,46;10,85;
10/11/2023 09:07;;11,01;10,99;10,99;12,39;15,42;15,66;15,49;15,93;28,34;
10/11/2023 09:08;;10,94;11;47,29;12,2;15,76;15,79;15,75;16,15;12,27;
10/11/2023 09:09;;37,89;15,72;12,18;11,64;15,8;15,8;15,77;15,98;10,81;
10/11/2023 09:10;;12,35;10,93;10,61;12,22;15,67;15,73;15,67;15,83;10,63;
10/11/2023 09:11;;11,06;10,76;10,69;12,54;15,8;15,92;15,93;15,91;10,82;
10/11/2023 09:12;;10,92;10,89;10,89;12,04;15,5;15,34;15,46;15,2;10,99;
10/11/2023 09:13;;10,75;10,78;10,71;11,79;15,4;15,5;15,78;15,65;10,76;
10/11/2023 09:14;;10,61;10,6;10,75;11,74;15,19;14,76;14,82;14,3;10,72;
10/11/2023 09:15;;11,04;11,08;11,07;10,7;53,92;11,01;11,22;11,02;11,06;
10/11/2023 09:16;;11,09;11,1;11;10,78;15,66;27,33;11,38;11,28;11,1;
10/11/2023 09:17;;11;10,96;11;10,6;29,28;21,96;11,12;10,78;11,05;
10/11/2023 09:18;;10,95;11,08;11,11;10,67;12,05;11,39;15,83;24,73;11,1;
10/11/2023 09:19;;11,05;11,19;11,03;11,18;11,11;11;11,9;12,25;11,11;
10/11/2023 09:20;;11,17;11,28;11,18;11,24;11,15;10,89;11,52;11,35;11,12;
10/11/2023 09:21;;11,07;11,24;11,1;11,02;11,09;11,16;10,95;10,95;11,17;
10/11/2023 09:22;;11,11;11,19;11,11;11,14;10,86;11,08;11,04;11,06;11,21;
10/11/2023 09:23;;11,67;11,91;11,77;15,82;17,64;19,01;17,5;17,9;11,83;
10/11/2023 09:24;;11,99;12,39;12,18;17,5;21,35;21,88;21,44;21,52;12,19;
10/11/2023 09:25;;12,17;12,58;12,42;17,75;22,96;23,07;22,97;22,87;12,31;
10/11/2023 09:26;;12,24;12,68;12,48;17,8;23,55;23,54;23,58;23,41;12,39;
10/11/2023 09:27;;12,31;12,77;12,58;17,9;23,77;23,71;23,78;23,62;12,5;
10/11/2023 09:28;;12,39;12,78;12,59;18;23,83;23,81;23,86;23,7;12,56;
10/11/2023 09:29;;12,39;12,79;12,62;18,04;23,9;23,78;23,84;23,67;12,54;
10/11/2023 09:30;;12,38;12,79;12,6;18,12;23,84;23,76;23,86;23,69;12,58;
10/11/2023 09:31;;12,4;12,76;12,58;18,09;23,78;23,77;23,82;23,69;12,6;
10/11/2023 09:32;;12,44;12,82;12,66;18,13;23,76;23,69;23,79;23,6;12,59;
