Appareil;Nom=;6100 PORTABLE;;Numéro de série=;8480381;;Version de logiciel=;5.7;;;;;;;;
;Adresse MAC=;00:0A:8D:81:66:7D;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT;;;;;
Groupe;Group 1;;;;;;;;;;;;;;;
TC1;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC2;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC3;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC4;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC5;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC6;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC7;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC8;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC9;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC10;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC11;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC12;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC13;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC14;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC15;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
Date/Heure;;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15
;;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
15/02/24 18:32:32.625;15/02/24 18:32:32 Mise sous tension;;;;;;;;;;;;;;;
15/02/24 18:32:32.625;15/02/24 18:32:32 Version de config:561 Version de sécurité:1;;;;;;;;;;;;;;;
15/02/24 18:32:33.5;15/02/24 18:32:33 Stockage actif;;;;;;;;;;;;;;;
15/02/2024 18:33;;20,29;20,11;19,47;20,18;17,45;16,38;16,4;17,68;17,94;;;;;;
15/02/2024 18:34;;20,34;20,25;19,97;20,05;29,01;16,45;17,11;16,76;17,86;;;;;;
15/02/2024 18:35;;20,39;20,07;19,78;20,17;17,72;26,22;16,19;17,62;18,03;;;;;;
15/02/2024 18:36;;20,42;20,03;20,02;20,06;16,88;17,79;19,28;26,51;18,46;;;;;;
15/02/2024 18:37;;20,18;19,89;19,75;19,9;16,54;16,26;16,48;17,75;17,79;;;;;;
15/02/2024 18:38;;19,84;19,8;19,67;19,75;16,52;16,76;16,94;17,31;17,74;;;;;;
15/02/2024 18:39;;18,43;17,74;17,52;18,32;17,31;17,45;17,52;17,67;17,09;;;;;;
15/02/2024 18:40;;17,29;17,96;17,04;16,63;17,73;18,14;17,73;17,68;17,93;;;;;;
15/02/2024 18:41;;18,48;19,44;19,43;18,17;18,28;18,17;18,1;17,93;18,12;;;;;;
15/02/2024 18:42;;237,7;235,07;236,1;237,8;241,16;254,55;231,15;250,92;247,68;;;;;;
15/02/2024 18:43;;218;207,46;201,06;214,93;219,16;176,11;184,37;209,52;213,38;;;;;;
15/02/2024 18:44;;211,43;202,31;193,9;208,55;213,05;169,63;177,88;201,14;206,88;;;;;;
15/02/2024 18:45;;206,26;198,01;189,63;204,28;208,41;163,19;172,85;195,03;202,01;;;;;;
15/02/2024 18:46;;202,06;193,12;186,04;199,77;204,43;160,12;168,65;190,77;196,56;;;;;;
15/02/2024 18:47;;196,89;189,58;181,86;195,37;200,46;155,95;165,49;185,27;192,01;;;;;;
15/02/2024 18:48;;192,59;184,56;178,55;191,61;197,26;152;161,26;181,6;187,07;;;;;;
15/02/2024 18:49;;188,7;181,03;174,71;187,15;193,54;149,03;157,68;175,89;182,63;;;;;;
15/02/2024 18:50;;184,52;176,87;170,99;183,25;189,89;145,07;154,13;171,71;178,93;;;;;;
