"Appareil";"Nom=";"Four Thermidor Efita";;"Numéro de série=";"8470479";;"Version de logiciel=";"5.13"
;"Adresse MAC=";"00:0A:8D:81:3F:CF";;"Langue=";"fr";;"Pays=";"FR";;"Fuseau horaire=";"GMT"
"Groupe";"Group 1"
"Pt Froid";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"% Puissance";"Bas=";0,0;"Haut=";100,0;"Unités=";"%"
"Regulation";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Consigne T°";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Pt Chaud";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"Date/Heure";;"Pt Froid";"% Puissance";"Regulation";"Consigne T°";"Pt Chaud"
;;"°C";"%";"°C";"°C";"°C"
"15/02/24 18:40:18.375";"15/02/24 18:40:18 Démarrage lot (Invité)"
"15/02/24 18:40:18.375";"15/02/24 18:40:18 N° OF TUS--6342OFF"
"15/02/24 18:40:18.375";;300,7;8,4;300,0;300,0;300,9
"15/02/24 18:40:20";;300,7;8,4;300,0;300,0;300,9
"15/02/24 18:40:30";;300,0;8,4;299,5;300,0;300,0
"15/02/24 18:40:40";;294,9;8,4;294,8;300,0;294,4
"15/02/24 18:40:50";;289,9;8,4;289,0;300,0;288,5
"15/02/24 18:41:00";;286,4;8,4;284,4;300,0;284,1
"15/02/24 18:41:10";;284,8;8,4;282,1;300,0;282,0
"15/02/24 18:41:20";;283,3;8,4;280,5;300,0;280,4
"15/02/24 18:41:30";;281,6;8,4;278,7;300,0;278,5
"15/02/24 18:41:40";;277,1;8,4;274,4;300,0;274,2
"15/02/24 18:41:50";;272,3;8,4;268,0;300,0;268,9
"15/02/24 18:42:00";;270,1;8,4;264,0;300,0;266,7
"15/02/24 18:42:10";;269,0;8,4;261,5;300,0;265,0
"15/02/24 18:42:20";;267,9;0,0;259,6;35,0;263,8
"15/02/24 18:42:30";;266,5;0,0;257,6;35,0;261,3
"15/02/24 18:42:40";;264,0;0,0;253,9;35,0;248,0
"15/02/24 18:42:50";;261,0;0,0;249,4;35,0;232,9
"15/02/24 18:43:00";;258,2;0,0;245,2;35,0;219,6
"15/02/24 18:43:10";;255,3;0,0;240,9;35,0;208,3
"15/02/24 18:43:20";;252,9;0,0;237,0;35,0;198,9
"15/02/24 18:43:30";;250,4;0,0;233,8;35,0;191,2
"15/02/24 18:43:40";;248,0;0,0;230,9;35,0;184,8
"15/02/24 18:43:50";;245,9;0,0;228,1;35,0;179,2
"15/02/24 18:44:00";;244,0;0,0;225,8;35,0;174,5
"15/02/24 18:44:10";;241,9;0,0;223,7;35,0;170,5
"15/02/24 18:44:20";;240,2;0,0;221,6;35,0;167,0
"15/02/24 18:44:30";;238,6;0,0;220,0;35,0;163,9
"15/02/24 18:44:40";;236,7;0,0;218,2;35,0;161,0
"15/02/24 18:44:50";;235,2;0,0;216,6;35,0;158,8
"15/02/24 18:45:00";;233,6;0,0;215,1;35,0;156,7
"15/02/24 18:45:10";;232,2;0,0;213,5;35,0;154,9
"15/02/24 18:45:20";;230,8;0,0;212,0;35,0;153,2
"15/02/24 18:45:30";;229,4;0,0;210,4;35,0;151,6
"15/02/24 18:45:40";;228,1;0,0;209,0;35,0;150,2
"15/02/24 18:45:50";;226,7;0,0;207,6;35,0;149,1
"15/02/24 18:46:00";;225,6;0,0;206,4;35,0;147,9
"15/02/24 18:46:10";;224,3;0,0;205,7;35,0;146,9
"15/02/24 18:46:20";;223,2;0,0;204,6;35,0;145,9
"15/02/24 18:46:30";;221,9;0,0;203,6;35,0;145,0
"15/02/24 18:46:40";;220,8;0,0;202,5;35,0;144,1
"15/02/24 18:46:50";;219,7;0,0;201,5;35,0;143,1
"15/02/24 18:47:00";;218,5;0,0;200,4;35,0;142,3
"15/02/24 18:47:10";;217,5;0,0;199,3;35,0;141,5
"15/02/24 18:47:20";;216,5;0,0;198,4;35,0;140,8
"15/02/24 18:47:30";;215,4;0,0;197,5;35,0;140,0
"15/02/24 18:47:40";;214,4;0,0;196,8;35,0;139,3
"15/02/24 18:47:50";;213,4;0,0;195,8;35,0;138,5
"15/02/24 18:48:00";;212,4;0,0;194,8;35,0;137,8
"15/02/24 18:48:10";;211,4;0,0;194,0;35,0;137,2
"15/02/24 18:48:20";;210,5;0,0;193,2;35,0;136,5
"15/02/24 18:48:30";;209,5;0,0;192,3;35,0;135,9
"15/02/24 18:48:40";;208,5;0,0;191,5;35,0;135,3
"15/02/24 18:48:50";;207,6;0,0;190,6;35,0;134,6
"15/02/24 18:49:00";;206,7;0,0;189,8;35,0;134,1
"15/02/24 18:49:10";;205,8;0,0;189,1;35,0;133,5
"15/02/24 18:49:20";;205,0;0,0;188,5;35,0;133,0
"15/02/24 18:49:30";;204,1;0,0;187,7;35,0;132,5
"15/02/24 18:49:40";;203,2;0,0;187,1;35,0;132,0
"15/02/24 18:49:50";;202,4;0,0;186,6;35,0;131,6
"15/02/24 18:50:00";;201,5;0,0;186,1;35,0;131,0
