Appareil;Nom=;6100 PORTABLE;;Numéro de série=;8480381;;Version de logiciel=;5.7;;;;;;
;Adresse MAC=;00:0A:8D:81:66:7D;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT;;;
Groupe;Group 1;;;;;;;;;;;;;
TC1;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC2;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC3;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC4;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC5;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC6;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC7;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC8;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC9;Bas=;20;Haut=;250;Unités=;°C;;;;;;;;
TC10;Bas=;0;Haut=;250;Unités=;°C;;;;;;;;
TC11;Bas=;0;Haut=;250;Unités=;°C;;;;;;;;
TC12;Bas=;0;Haut=;250;Unités=;°C;;;;;;;;
TC13;Bas=;0;Haut=;250;Unités=;°C;;;;;;;;
Date/Heure;;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13
;;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
26/05/2023 15:03;;31,23;31,02;31,04;31,23;31,3;31,29;31,27;31,19;30,85;31,26;30,95;31,01;31,28
26/05/2023 15:04;;31,26;31,05;31,05;31,23;31,29;31,37;31,34;31,19;30,88;31,31;30,86;31,1;31,38
26/05/2023 15:05;;33,05;33,05;32,59;32,75;32,96;33,28;32,61;32,78;32,88;32,98;32,95;33,22;33,09
26/05/2023 15:06;;33,52;33,48;33;33,17;33,42;33,65;33,12;33,29;33,26;33,46;33,45;33,55;33,42
26/05/2023 15:07;;47,21;45,04;38,6;40,09;42,33;50,09;44,12;43,58;43,53;45,17;44,9;48,69;47,65
26/05/2023 15:08;;59,98;58,89;57,49;54,92;57,71;61,97;56,72;59,32;59,27;59,29;58,32;59,71;59,71
26/05/2023 15:09;;60,47;59,21;57,35;57,3;58,68;61,1;57,32;59,69;58,64;60,26;59,23;59,97;59,84
26/05/2023 15:10;;60,59;59,64;57,58;58,06;58,12;61,08;57,76;60,18;58,67;60,45;59,73;60,07;60,07
26/05/2023 15:11;;59,82;59,18;57,42;57,8;58,13;60,15;57,43;59,3;57,78;59,8;58,91;59,12;59,35
26/05/2023 15:12;;59,8;59,26;57,04;57,81;58,35;60,09;57,11;59,24;58,33;59,71;59,1;59,09;59,33
26/05/2023 15:13;;59,61;59,18;57,48;55,9;57,75;59,89;57,15;58,89;57,98;59,55;58,99;59,13;59,14
26/05/2023 15:14;;59,62;59,13;57,13;57,62;58,62;59,97;57,16;59,16;57,51;59,58;59,01;59,16;59,25
26/05/2023 15:15;;59,51;58,92;56,62;57,44;58,54;59,78;57,04;58,92;57,16;59,41;58,81;59,04;59,11
26/05/2023 15:16;;59,63;59,16;57,13;56,96;58,27;59,86;57,3;59,19;58,18;59,5;58,77;58,81;59,03
26/05/2023 15:17;;59,81;59,36;57,06;58,19;58,75;60,12;57,51;59,32;57,32;59,69;59,19;59,21;59,31
26/05/2023 15:18;;59,75;59,24;57,33;57,42;58,65;59,97;57,59;59,25;57,68;59,63;59,02;59,21;59,33
26/05/2023 15:19;;59,6;59,29;57,33;57,62;58,44;59,81;57,69;59,03;57,98;59,51;59,18;59,1;59,21
26/05/2023 15:20;;59,73;59,35;56,89;57,7;58,68;59,86;57,54;59,16;57,72;59,53;59,01;59,2;59,13
26/05/2023 15:21;;59,76;59,33;57,16;57,44;58,64;59,97;57,89;59,23;58,47;59,61;59,14;59,21;59,39
26/05/2023 15:22;;59,86;59,55;57,29;57,6;58,73;60,09;57,98;59,29;58,04;59,8;59,19;59,49;59,43
