Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.13;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 1;;;;;;;;;;
Pt Froid;Bas=;50;Haut=;550;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Regulation;Bas=;50;Haut=;550;Unités=;°C;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
Pt Chaud;Bas=;50;Haut=;550;Unités=;°C;;;;;
Date/Heure;;Pt Froid;% Puissance;Regulation;Consigne T°;Pt Chaud;;;;;
;;°C;%;°C;°C;°C;;;;;
20/02/2024 17:31:00;;243,3;0;228,4;35;220,6;;;;;
20/02/2024 17:31:10;;242,1;0;225,2;35;209,3;;;;;
20/02/2024 17:31:20;;240,7;0;222,4;35;199,8;;;;;
20/02/2024 17:31:30;;239,2;0;219,6;35;191,8;;;;;
20/02/2024 17:31:40;;237,7;0;217,1;35;185,3;;;;;
20/02/2024 17:31:50;;236,2;0;214,7;35;179,9;;;;;
20/02/2024 17:32:00;;234,9;0;212,8;35;175,6;;;;;
20/02/2024 17:32:10;;233,3;0;211,1;35;172;;;;;
20/02/2024 17:32:20;;231,8;0;209,4;35;168,7;;;;;
20/02/2024 17:32:30;;230,3;0;207,9;35;165,9;;;;;
20/02/2024 17:32:40;;228,9;0;206,4;35;163,8;;;;;
20/02/2024 17:32:50;;227,4;0;205;35;161,6;;;;;
20/02/2024 17:33:00;;226;0;203,7;35;159,8;;;;;
20/02/2024 17:33:10;;224,6;0;202,5;35;158,1;;;;;
20/02/2024 17:33:20;;223,3;0;201,3;35;156,6;;;;;
20/02/2024 17:33:30;;221,9;0;200,1;35;155,4;;;;;
20/02/2024 17:33:40;;220,7;0;199;35;154,2;;;;;
20/02/2024 17:33:50;;219,5;0;197,7;35;153,1;;;;;
20/02/2024 17:34:00;;218,2;0;196,8;35;152;;;;;
20/02/2024 17:34:10;;217;0;195,8;35;151;;;;;
20/02/2024 17:34:20;;215,8;0;194,7;35;150,1;;;;;
20/02/2024 17:34:30;;214,7;0;193,6;35;149,2;;;;;
20/02/2024 17:34:40;;213,6;0;192,6;35;148,5;;;;;
20/02/2024 17:34:50;;212,6;0;191,5;35;147,9;;;;;
20/02/2024 17:35:00;;211,4;0;190,7;35;147,2;;;;;
20/02/2024 17:35:10;;210,3;0;189,9;35;146,5;;;;;
20/02/2024 17:35:20;;209,3;0;189,2;35;145,8;;;;;
20/02/2024 17:35:30;;208,3;0;188,3;35;144,9;;;;;
20/02/2024 17:35:40;;207,3;0;187,5;35;144,3;;;;;
20/02/2024 17:35:50;;206,4;0;186,9;35;143,7;;;;;
20/02/2024 17:36:00;;205,4;0;186,2;35;143,2;;;;;
