Appareil;Nom=;6100 PORTABLE;;Numéro de série=;8480381;;Version de logiciel=;5.7;;;;;;;;
;Adresse MAC=;00:0A:8D:81:66:7D;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT;;;;;
Groupe;Group 1;;;;;;;;;;;;;;;
TC1;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC2;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC3;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC4;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC5;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC6;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC7;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC8;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC9;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC10;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC11;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC12;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC13;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC14;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
TC15;Bas=;20;Haut=;550;Unités=;°C;;;;;;;;;;
Date/Heure;;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15
;;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
12/02/24 18:35:47.625;12/02/24 18:35:47 Mise sous tension;;;;;;;;;;;;;;;
12/02/24 18:35:47.625;12/02/24 18:35:47 Version de config:561 Version de sécurité:1;;;;;;;;;;;;;;;
12/02/24 18:35:48.5;12/02/24 18:35:48 Stockage actif;;;;;;;;;;;;;;;
20/02/2024  17:31;;215,11;208,85;204,05;214,42;210,61;191,29;186,84;206,55;212,37;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:32;;206,9;200,65;196,37;206,74;202,13;181,66;177,76;199,52;204,58;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:33;;201,34;194,86;190,5;201,55;194,92;176,35;171,85;194,8;199,05;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:34;;196,26;190,01;185,93;196,44;187,95;173,68;166,98;186,02;193,67;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:35;;191,66;185,31;181,62;192,73;183,59;166,78;161,06;184,59;188,84;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:36;;187,64;181,81;178,62;188,65;180,19;165,2;158,77;179,36;185,34;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:37;;183,62;178,03;174,42;184,3;176,33;160,48;154,94;176,08;181,04;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:38;;179,76;174,53;171,17;180,8;172,52;158,05;152,99;171,12;177,68;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:39;;175,45;170,27;167,41;176,87;167,63;154,42;148,86;169,17;173,94;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:40;;172,01;166,75;164,06;173,29;164,35;151,11;145,24;166,83;169,57;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:41;;168,94;163,66;161,3;170,01;162,38;149,54;143,57;162,02;166,43;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
20/02/2024  17:42;;165,51;160,43;158,18;166,44;159,22;147,59;140,56;159,53;163,61;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME;<GAMME
