Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.13;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 1;;;;;;;;;;
Pt Froid;Bas=;50;Haut=;550;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Regulation;Bas=;50;Haut=;550;Unités=;°C;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
Pt Chaud;Bas=;50;Haut=;550;Unités=;°C;;;;;
Date/Heure;;Pt Froid;% Puissance;Regulation;Consigne T°;Pt Chaud;;;;;
;;°C;%;°C;°C;°C;;;;;
12/02/24 18:41:10.875;12/02/24 18:41:10 Démarrage lot (Invité);;;;;;;;;;
12/02/24 18:41:10.875;12/02/24 18:41:10 N° OF TUS--6325OFF;;;;;;;;;;
12/02/24 18:41:10.875;;494,5;26,3;495;495;494,4;;;;;
12/02/2024 18:41;;494,2;26,3;494,9;495;493,9;;;;;
12/02/2024 18:41;;486,6;26,3;487,9;495;484,9;;;;;
12/02/2024 18:41;;478,9;26,3;478;495;475,2;;;;;
12/02/2024 18:41;;473,3;26,3;470,3;495;467,4;;;;;
12/02/2024 18:42;;471,9;26,3;467,2;495;464,8;;;;;
12/02/2024 18:42;;470,7;26,3;465,9;495;463,5;;;;;
12/02/2024 18:42;;469,7;26,3;464,8;495;462,3;;;;;
12/02/2024 18:42;;463,5;26,3;460;495;455,8;;;;;
12/02/2024 18:42;;454,6;26,3;448,7;495;445,4;;;;;
12/02/2024 18:42;;450,7;35,2;440;495;439,9;;;;;
12/02/2024 18:43;;448,1;100;435,1;495;437,3;;;;;
12/02/2024 18:43;;446,2;0;431;35;435,9;;;;;
12/02/2024 18:43;;444,2;0;427,2;35;434,2;;;;;
12/02/2024 18:43;;440,4;0;422;35;420,2;;;;;
12/02/2024 18:43;;435,5;0;416;35;398,1;;;;;
12/02/2024 18:43;;430,8;0;410;35;377,9;;;;;
12/02/2024 18:44;;426,7;0;404,9;35;360,8;;;;;
12/02/2024 18:44;;422,6;0;400;35;346,5;;;;;
12/02/2024 18:44;;418,9;0;395,5;35;334,3;;;;;
12/02/2024 18:44;;415,3;0;391,4;35;323,6;;;;;
12/02/2024 18:44;;412;0;387,4;35;314,5;;;;;
12/02/2024 18:44;;408,7;0;384,3;35;306,7;;;;;
12/02/2024 18:45;;405,9;0;381,7;35;300;;;;;
12/02/2024 18:45;;403,1;0;378,6;35;293,8;;;;;
12/02/2024 18:45;;400,3;0;375,8;35;288,2;;;;;
12/02/2024 18:45;;397,7;0;372,9;35;283,2;;;;;
12/02/2024 18:45;;395,2;0;370,6;35;278,6;;;;;
12/02/2024 18:45;;392,7;0;367,8;35;274,5;;;;;
12/02/2024 18:46;;390,1;0;365,5;35;270,6;;;;;
