"Appareil";"Nom=";"Four Thermidor Efita";;"Numéro de série=";"8470479";;"Version de logiciel=";"5.13"
;"Adresse MAC=";"00:0A:8D:81:3F:CF";;"Langue=";"fr";;"Pays=";"FR";;"Fuseau horaire=";"GMT"
"Groupe";"Group 2"
"T° Bac trempe";"Bas=";0,0;"Haut=";50,0;"Unités=";"°C"
"% Puissance";"Bas=";0,0;"Haut=";100,0;"Unités=";"%"
"Consigne T°";"Bas=";50,0;"Haut=";550,0;"Unités=";"°C"
"N° Programme";"Bas=";0;"Haut=";50;"Unités=";""
"Chrono Trempe";"Bas=";"00:00:00";"Haut=";"00:00:00";"Unités=";""
"Date/Heure";;"T° Bac trempe";"% Puissance";"Consigne T°";"N° Programme";"Chrono Trempe"
;;"°C";"%";"°C";"";""
"12/02/24 18:41:10.875";"12/02/24 18:41:10 Démarrage lot (Invité)"
"12/02/24 18:41:10.875";"12/02/24 18:41:10 N° OF TUS--6325OFF"
"12/02/24 18:41:10.875";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:41:20";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:41:30";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:41:40";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:41:50";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:42:00";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:42:10";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:42:20";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:42:30";;25,8;26,3;495,0;50;"00:00:00"
"12/02/24 18:42:40";;25,7;26,3;495,0;50;"00:00:00"
"12/02/24 18:42:50";;25,8;35,2;495,0;50;"00:00:00"
"12/02/24 18:43:00";;25,8;100,0;495,0;50;"00:00:00"
"12/02/24 18:43:10";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:43:20";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:43:30";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:43:40";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:43:50";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:44:00";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:44:10";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:44:20";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:44:30";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:44:40";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:44:50";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:45:00";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:45:10";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:45:20";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:45:30";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:45:40";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:45:50";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:46:00";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:46:10";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:46:20";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:46:30";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:46:40";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:46:50";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:47:00";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:47:10";;25,8;0,0;35,0;50;"00:00:00"
"12/02/24 18:47:20";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:47:30";;25,7;0,0;35,0;50;"00:00:00"
"12/02/24 18:47:40";;25,8;0,0;35,0;50;"00:00:00"
